Leading,Party,Total,Won,link
0,Bharatiya Janata Party - BJP,240,240,partywisewinresultState-369.htm
0,Indian National Congress - INC,99,99,partywisewinresultState-742.htm
0,Samajwadi Party - SP,37,37,partywisewinresultState-1680.htm
0,All India Trinamool Congress - AITC,29,29,partywisewinresultState-140.htm
0,Dravida Munnetra Kazhagam - DMK,22,22,partywisewinresultState-582.htm
0,Telugu Desam - TDP,16,16,partywisewinresultState-1745.htm
0,Janata Dal  (United) - JD(U),12,12,partywisewinresultState-805.htm
0,Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,9,9,partywisewinresultState-3369.htm
0,Nationalist Congress Party – Sharadchandra Pawar - NCPSP,8,8,partywisewinresultState-3620.htm
0,Shiv Sena - SHS,7,7,partywisewinresultState-3529.htm
0,Lok Janshakti Party(Ram Vilas) - LJPRV,5,5,partywisewinresultState-3165.htm
0,Yuvajana Sramika Rythu Congress Party - YSRCP,4,4,partywisewinresultState-1888.htm
0,Rashtriya Janata Dal - RJD,4,4,partywisewinresultState-1420.htm
0,Communist Party of India  (Marxist) - CPI(M),4,4,partywisewinresultState-547.htm
0,Indian Union Muslim League - IUML,3,3,partywisewinresultState-772.htm
0,Aam Aadmi Party - AAAP,3,3,partywisewinresultState-1.htm
0,Jharkhand Mukti Morcha - JMM,3,3,partywisewinresultState-852.htm
0,Janasena Party - JnP,2,2,partywisewinresultState-860.htm
0,Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),2,2,partywisewinresultState-545.htm
0,Janata Dal  (Secular) - JD(S),2,2,partywisewinresultState-804.htm
0,Viduthalai Chiruthaigal Katchi - VCK,2,2,partywisewinresultState-1847.htm
0,Communist Party of India - CPI,2,2,partywisewinresultState-544.htm
0,Rashtriya Lok Dal - RLD,2,2,partywisewinresultState-1458.htm
0,Jammu & Kashmir National Conference - JKN,2,2,partywisewinresultState-834.htm
0,"United People’s Party, Liberal - UPPL",1,1,partywisewinresultState-1998.htm
0,Asom Gana Parishad - AGP,1,1,partywisewinresultState-83.htm
0,Hindustani Awam Morcha (Secular) - HAMS,1,1,partywisewinresultState-664.htm
0,Kerala Congress - KEC,1,1,partywisewinresultState-911.htm
0,Revolutionary Socialist Party - RSP,1,1,partywisewinresultState-1534.htm
0,Nationalist Congress Party - NCP,1,1,partywisewinresultState-1142.htm
0,Voice of the People Party - VOTPP,1,1,partywisewinresultState-3388.htm
0,Zoram People’s Movement - ZPM,1,1,partywisewinresultState-2757.htm
0,Shiromani Akali Dal - SAD,1,1,partywisewinresultState-1584.htm
0,Rashtriya Loktantrik Party - RLTP,1,1,partywisewinresultState-2484.htm
0,Bharat Adivasi Party - BHRTADVSIP,1,1,partywisewinresultState-3482.htm
0,Sikkim Krantikari Morcha - SKM,1,1,partywisewinresultState-1658.htm
0,Marumalarchi Dravida Munnetra Kazhagam - MDMK,1,1,partywisewinresultState-1046.htm
0,Aazad Samaj Party (Kanshi Ram) - ASPKR,1,1,partywisewinresultState-2989.htm
0,Apna Dal (Soneylal) - ADAL,1,1,partywisewinresultState-2070.htm
0,AJSU Party - AJSUP,1,1,partywisewinresultState-160.htm
0,All India Majlis-E-Ittehadul Muslimeen - AIMIM,1,1,partywisewinresultState-118.htm
0,Independent - IND,7,7,partywisewinresultState-743.htm
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
